                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.47044,                0.27642,                0.86555,                0.94501,                0.95037,                 0.9745,                0.77369,                0.86185,                0.35815,                0.94918,               0.001948,               0.001948,               0.001948
                    124,                0.46832,                0.27461,                0.86448,                0.94376,                0.95043,                 0.9746,                0.77438,                0.86084,                 0.3575,                0.94871,               0.001882,               0.001882,               0.001882
                    125,                0.46455,                0.27189,                0.86496,                0.94333,                0.95043,                0.97474,                0.77476,                0.86036,                0.35765,                0.94849,               0.001816,               0.001816,               0.001816
                    126,                0.46287,                0.27243,                0.86548,                0.94371,                0.94987,                0.97475,                0.77496,                0.85936,                0.35739,                0.94822,                0.00175,                0.00175,                0.00175
                    127,                0.46115,                0.27073,                0.86462,                 0.9444,                0.95011,                0.97487,                0.77535,                0.85909,                0.35685,                0.94811,               0.001684,               0.001684,               0.001684
                    128,                0.45673,                0.26713,                0.86305,                0.94512,                0.94992,                0.97488,                 0.7758,                 0.8579,                0.35657,                 0.9478,               0.001618,               0.001618,               0.001618
                    129,                0.45847,                0.26438,                0.86386,                0.94671,                0.94922,                0.97485,                0.77654,                0.85701,                0.35628,                0.94759,               0.001552,               0.001552,               0.001552
                    130,                0.45425,                0.26451,                0.86464,                 0.9458,                0.94967,                0.97486,                0.77741,                0.85604,                0.35597,                0.94737,               0.001486,               0.001486,               0.001486
                    131,                0.45162,                0.26399,                0.86233,                0.94611,                0.94959,                0.97485,                0.77851,                0.85519,                0.35545,                0.94717,                0.00142,                0.00142,                0.00142
                    132,                 0.4504,                0.26244,                0.86217,                0.94607,                0.94891,                0.97467,                0.77827,                0.85437,                0.35467,                0.94691,               0.001354,               0.001354,               0.001354
                    133,                0.44916,                0.26102,                0.86128,                0.94794,                0.94759,                0.97482,                 0.7788,                0.85345,                0.35386,                0.94663,               0.001288,               0.001288,               0.001288
                    134,                0.44767,                0.25843,                0.86055,                0.94909,                 0.9474,                0.97466,                0.77913,                0.85265,                0.35352,                0.94647,               0.001222,               0.001222,               0.001222
                    135,                0.44277,                 0.2551,                0.86047,                0.94763,                0.94533,                0.97464,                0.77948,                0.85164,                0.35302,                0.94616,               0.001156,               0.001156,               0.001156
                    136,                 0.4456,                0.25475,                0.86098,                0.94878,                 0.9447,                0.97469,                 0.7794,                0.85094,                0.35304,                 0.9459,                0.00109,                0.00109,                0.00109
                    137,                0.43528,                0.24936,                0.85874,                0.94808,                0.94497,                0.97487,                0.78027,                0.84966,                0.35293,                0.94548,               0.001024,               0.001024,               0.001024
                    138,                0.44276,                0.25167,                0.86013,                0.94807,                0.94456,                0.97493,                0.78047,                0.84885,                0.35246,                0.94527,               0.000958,               0.000958,               0.000958
                    139,                0.43514,                0.25113,                 0.8582,                0.94957,                0.94427,                0.97483,                0.78047,                0.84802,                0.35247,                0.94519,               0.000892,               0.000892,               0.000892
                    140,                0.43991,                0.21862,                0.83122,                0.94953,                0.94486,                0.97516,                0.78125,                  0.847,                0.35188,                 0.9449,               0.000826,               0.000826,               0.000826
                    141,                0.43721,                0.21578,                0.83312,                0.94966,                0.94492,                0.97531,                0.78209,                0.84633,                0.35143,                0.94465,                0.00076,                0.00076,                0.00076
                    142,                0.43478,                0.21376,                0.83085,                0.94971,                0.94459,                0.97498,                0.78257,                0.84524,                  0.351,                0.94444,               0.000694,               0.000694,               0.000694
                    143,                0.43004,                0.21205,                0.82962,                0.94958,                0.94427,                0.97511,                0.78227,                0.84427,                0.35111,                0.94417,               0.000628,               0.000628,               0.000628
                    144,                0.42713,                0.21033,                0.82906,                0.95177,                0.94052,                  0.975,                0.78368,                0.84344,                0.35059,                  0.944,               0.000562,               0.000562,               0.000562
                    145,                0.42196,                0.20789,                0.82662,                0.95204,                0.94068,                0.97523,                0.78464,                0.84253,                0.35026,                0.94385,               0.000496,               0.000496,               0.000496
                    146,                0.41882,                0.20601,                0.82655,                0.95245,                0.94027,                0.97511,                0.78517,                0.84137,                0.34984,                0.94353,                0.00043,                0.00043,                0.00043
                    147,                0.41766,                0.20532,                0.82626,                0.95435,                0.94058,                0.97518,                0.78655,                0.84032,                0.34963,                0.94311,               0.000364,               0.000364,               0.000364
                    148,                 0.4144,                0.20273,                0.82522,                0.95502,                0.94058,                0.97537,                0.78664,                0.83937,                0.34934,                0.94284,               0.000298,               0.000298,               0.000298
                    149,                0.41345,                0.20117,                0.82447,                0.95753,                0.94045,                0.97509,                0.78727,                0.83821,                0.34937,                0.94274,               0.000232,               0.000232,               0.000232
